grade,review
positive,"Замечательный мюзикл. Прекрасно провели время. Актерский состав превзошел наши ожидания. Сергей Ли великолепен в роли Вронского! Валерия Ланская необыкновенно трогательна в роли Карениной. От всей души благодарим всех тех, кто причастен к созданию очередного шедевра Театра Оперетты. Браво !!!"
positive,пойду снова в третий раз !!!!!
positive,Как будто попал 1990 лет назад или 33 год нашей эры. Восторг полнейший
positive,"Спектакль очень понравился! Замечательная музыка, профессиональной исполнение! Получили удовольствие. Однозначно рекомендую."
positive,"Я просто полностью погрузился в атмосферу спектакля. Это было феерично, я не мог оторвать глаз от сцены ни на секунду. Актеры исполняли свои роли с таким жаром и энергией, что я чувствовал их эмоции каждой клеточкой своего тела. Впечатляюще!"
positive,"Это был очень смешной и легкий комедийный спектакль. Ооочень понравилась игра актеров!👍 Второй раз была на спектакле с Железняк и я в восторге! Каждое ее выражение лица, поза реально смешные! А в этот раз я открыла для себя еще и артистический талант Ю. Меньшовой. Мы остались очень довольны! Рекомендую для проведения легкого вечера и любителям антрепризы! 🌺🌺🌺"
positive,"Действительно невероятное представление! Дрессированные волки, рыси, бегемот и др., кого в обычной жизни не увидишь. Качество шоу великолепное! Постановка, костюмы! С ребенком 3 лет лучше брать со 2-го ряда, на 1-м ряду низковато, хотя дают подушки. Рекомендую к посещению обязательно!!"
positive,"Трагикомедия, которая дает почву для размышлений. А какими мы будем, когда состаримся? Кто будет рядом? Кому будем нужны? Потрясающая игра актеров заставляет прожить с ними спектакль от и до, а финальная сцена и вовсе заставила многих прослезиться. Андрей Шарков и Виктор Сухоруков - блистательны!"
positive,"Спектакль понравился! Действия очень динамичные, сюжет захватывающий. Актёры - молодцы!"
positive," Были на концерте 10 августа. Пошли от того ,что в Москве в августе, ничего нет.Навка на всё лето в Сочи уехала, с ледовыми шоу, Авербух и Плющенко в отпуске. Только Тодес пляшет. В зале очень низкие сиденья, надо брать подушки(они у них есть) и подкладывать. Танцовщицы все в возрасте 30 . Хотели на память снять видео концерта, так два дебила мужик и баба, вроде охраны светели лазером в глаза, типо съёмка запрещена. Ну смешно, далеко не большой театр, концертик обычный на уровне ДКЖД и такая секретность. "
positive,"Пели прекрасно, постановка динамичная. Единственное, я всё же больше за классику, тяжело воспринимать мюзикл таким. Но для любителей и с целью знакомства с современными постановками - самое то:)"
positive,"Супер, ходила не первый раз, через года все так же супер"
